b,DRXFCSD,DRXFCLD
11710955,"b'INFANT FORMULA, ORGANIC, READY-TO-FEED'","b'Infant formula, organic, ready-to-feed'"
11710967,"b'INFANT FORMULA, STORE BRAND, ADVANTAGE OR TENDER, POWDER, MA'","b'Infant formula, store brand, advantage or tender, powder, made with tap water'"
11710968,"b'INFANT FORMULA, STORE BRAND, ADVANTAGE OR TENDER, POWDER, MA'","b'Infant formula, store brand, advantage or tender, powder, made with bottled water'"
11710969,"b'INFANT FORMULA, STORE BRAND, ADVANTAGE OR TENDER, POWDER, MA'","b'Infant formula, store brand, advantage or tender, powder, made with baby water'"
11710970,"b'INFANT FORMULA, STORE BRAND, GENTLE OR SENSITIVITY'","b'Infant formula, store brand, gentle or sensitivity'"
11710980,"b'INFANT FORMULA, STORE BRAND, ADDED RICE'","b'Infant formula, store brand, added rice'"
11720311,"b'INFANT FORMULA, ENFAMIL PROSOBEE, READY-TO-FEED'","b'Infant formula, Enfamil ProSobee, ready-to-feed'"
11720317,"b'INFANT FORMULA, ENFAMIL PROSOBEE, POWDER, MADE WITH TAP WATE'","b'Infant formula, Enfamil ProSobee, powder, made with tap water'"
11720318,"b'INFANT FORMULA, ENFAMIL PROSOBEE, POWDER, MADE WITH BOTTLED'","b'Infant formula, Enfamil ProSobee, powder, made with bottled water'"
11720319,"b'INFANT FORMULA, ENFAMIL PROSOBEE, POWDER, MADE WITH BABY WAT'","b'Infant formula, Enfamil ProSobee, powder, made with baby water'"
11720411,"b'INFANT FORMULA, SIMILAC ISOMIL SOY, READY-TO-FEED'","b'Infant formula, Similac Isomil Soy, ready-to-feed'"
11720417,"b'INFANT FORMULA, SIMILAC ISOMIL SOY, POWDER, MADE WITH TAP WA'","b'Infant formula, Similac Isomil Soy, powder, made with tap water'"
11720418,"b'INFANT FORMULA, SIMILAC ISOMIL SOY, POWDER, MADE WITH BOTTLE'","b'Infant formula, Similac Isomil Soy, powder, made with bottled water'"
11720419,"b'INFANT FORMULA, SIMILAC ISOMIL SOY, POWDER, MADE WITH BABY W'","b'Infant formula, Similac Isomil Soy, powder, made with baby water'"
11720430,"b'INFANT FORMULA, SIMILAC FOR DIARRHEA'","b'Infant formula, Similac for Diarrhea'"
11720611,"b'INFANT FORMULA, GERBER GOOD START SOY, STAGE 1, READY-TO-FEE'","b'Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed'"
11720617,"b'INFANT FORMULA, GERBER GOOD START SOY, STAGE 1, POWDER, MADE'","b'Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water'"
11720618,"b'INFANT FORMULA, GERBER GOOD START SOY, STAGE 1, POWDER, MADE'","b'Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water'"
11720619,"b'INFANT FORMULA, GERBER GOOD START SOY, STAGE 1, POWDER, MADE'","b'Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water'"
11720809,"b'INFANT FORMULA, STORE BRAND, SOY'","b'Infant formula, store brand, soy'"
11740311,"b'INFANT FORMULA, ENFAMIL NUTRAMIGEN, READY-TO-FEED'","b'Infant formula, Enfamil Nutramigen, ready-to-feed'"
11740313,"b'INFANT FORMULA, ENFAMIL NUTRAMIGEN, POWDER, MADE WITH WATER'","b'Infant formula, Enfamil Nutramigen, powder, made with water'"
11740401,"b'INFANT FORMULA, ENFAMIL PREGESTIMIL, READY-TO-FEED'","b'Infant formula, Enfamil Pregestimil, ready-to-feed'"
